,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Sun, Apr 1, 2018",6:00 pm,Orlando Magic,88.0,Atlanta Hawks,94.0,Box Score,,13587.0,
1,"Sun, Apr 1, 2018",6:00 pm,Detroit Pistons,108.0,Brooklyn Nets,96.0,Box Score,,16097.0,
2,"Sun, Apr 1, 2018",3:30 pm,Washington Wizards,94.0,Chicago Bulls,113.0,Box Score,,20466.0,
3,"Sun, Apr 1, 2018",1:00 pm,Philadelphia 76ers,119.0,Charlotte Hornets,102.0,Box Score,,17005.0,
4,"Sun, Apr 1, 2018",6:00 pm,Dallas Mavericks,87.0,Cleveland Cavaliers,98.0,Box Score,,20562.0,
5,"Sun, Apr 1, 2018",8:00 pm,Milwaukee Bucks,125.0,Denver Nuggets,128.0,Box Score,OT,19520.0,
6,"Sun, Apr 1, 2018",8:30 pm,Phoenix Suns,107.0,Golden State Warriors,117.0,Box Score,,19596.0,
7,"Sun, Apr 1, 2018",3:30 pm,Indiana Pacers,111.0,Los Angeles Clippers,104.0,Box Score,,15866.0,
8,"Sun, Apr 1, 2018",9:30 pm,Sacramento Kings,84.0,Los Angeles Lakers,83.0,Box Score,,18997.0,
9,"Sun, Apr 1, 2018",7:00 pm,Utah Jazz,121.0,Minnesota Timberwolves,97.0,Box Score,,18978.0,
10,"Sun, Apr 1, 2018",6:00 pm,Oklahoma City Thunder,109.0,New Orleans Pelicans,104.0,Box Score,,18500.0,
11,"Sun, Apr 1, 2018",9:00 pm,Memphis Grizzlies,98.0,Portland Trail Blazers,113.0,Box Score,,19545.0,
12,"Sun, Apr 1, 2018",3:30 pm,Houston Rockets,83.0,San Antonio Spurs,100.0,Box Score,,18418.0,
13,"Tue, Apr 3, 2018",8:00 pm,Charlotte Hornets,114.0,Chicago Bulls,120.0,Box Score,,20139.0,
14,"Tue, Apr 3, 2018",7:00 pm,Toronto Raptors,106.0,Cleveland Cavaliers,112.0,Box Score,,20562.0,
15,"Tue, Apr 3, 2018",8:30 pm,Portland Trail Blazers,109.0,Dallas Mavericks,115.0,Box Score,,19624.0,
16,"Tue, Apr 3, 2018",9:00 pm,Indiana Pacers,104.0,Denver Nuggets,107.0,Box Score,,14743.0,
17,"Tue, Apr 3, 2018",8:00 pm,Washington Wizards,104.0,Houston Rockets,120.0,Box Score,,18055.0,
18,"Tue, Apr 3, 2018",10:30 pm,San Antonio Spurs,110.0,Los Angeles Clippers,113.0,Box Score,,17449.0,
19,"Tue, Apr 3, 2018",7:30 pm,Atlanta Hawks,98.0,Miami Heat,101.0,Box Score,,19600.0,
20,"Tue, Apr 3, 2018",8:00 pm,Boston Celtics,102.0,Milwaukee Bucks,106.0,Box Score,,16188.0,
21,"Tue, Apr 3, 2018",7:30 pm,Orlando Magic,97.0,New York Knicks,73.0,Box Score,,19812.0,
22,"Tue, Apr 3, 2018",8:00 pm,Golden State Warriors,111.0,Oklahoma City Thunder,107.0,Box Score,,18203.0,
23,"Tue, Apr 3, 2018",7:00 pm,Brooklyn Nets,95.0,Philadelphia 76ers,121.0,Box Score,,20710.0,
24,"Tue, Apr 3, 2018",10:00 pm,Sacramento Kings,94.0,Phoenix Suns,97.0,Box Score,,16826.0,
25,"Tue, Apr 3, 2018",9:00 pm,Los Angeles Lakers,110.0,Utah Jazz,117.0,Box Score,,18306.0,
26,"Wed, Apr 4, 2018",7:30 pm,Miami Heat,115.0,Atlanta Hawks,86.0,Box Score,,16696.0,
27,"Wed, Apr 4, 2018",7:00 pm,Philadelphia 76ers,115.0,Detroit Pistons,108.0,Box Score,,18395.0,
28,"Wed, Apr 4, 2018",10:30 pm,San Antonio Spurs,112.0,Los Angeles Lakers,122.0,Box Score,OT,18997.0,
29,"Wed, Apr 4, 2018",8:00 pm,Memphis Grizzlies,95.0,New Orleans Pelicans,123.0,Box Score,,16521.0,
30,"Wed, Apr 4, 2018",7:00 pm,Dallas Mavericks,100.0,Orlando Magic,105.0,Box Score,,18112.0,
31,"Wed, Apr 4, 2018",8:00 pm,Boston Celtics,78.0,Toronto Raptors,96.0,Box Score,,19963.0,
32,"Thu, Apr 5, 2018",8:00 pm,Washington Wizards,115.0,Cleveland Cavaliers,119.0,Box Score,,20562.0,
33,"Thu, Apr 5, 2018",10:30 pm,Minnesota Timberwolves,96.0,Denver Nuggets,100.0,Box Score,,16415.0,
34,"Thu, Apr 5, 2018",8:00 pm,Portland Trail Blazers,94.0,Houston Rockets,96.0,Box Score,,18055.0,
35,"Thu, Apr 5, 2018",7:00 pm,Golden State Warriors,106.0,Indiana Pacers,126.0,Box Score,,17923.0,
36,"Thu, Apr 5, 2018",8:00 pm,Brooklyn Nets,119.0,Milwaukee Bucks,111.0,Box Score,,18378.0,
37,"Thu, Apr 5, 2018",9:00 pm,Los Angeles Clippers,95.0,Utah Jazz,117.0,Box Score,,18306.0,
